video,distortion,trend,severity,error,error_pct,tp,fp,fn,ssim,psnr
0001,brightness_gamma,flat,1.0,0.03582517315500358,3.582517315500358,4037,77,73,0.9989769819944835,56.524657256571196
0001,brightness_gamma,flat,1.1,0.033995690687096,3.3995690687096,4035,67,75,0.9884172843112097,30.02500187486232
0001,brightness_gamma,flat,1.25,0.06452375324982274,6.452375324982274,3958,121,152,0.9390011921797485,23.041296105227836
0001,brightness_gamma,flat,1.4,0.08909261871180066,8.909261871180066,3875,144,235,0.8624861350562589,19.738831005455307
0001,brightness_gamma,flat,1.6,0.1176196032672112,11.76196032672112,3781,175,329,0.7432932808330989,17.15978644815201
0001,brightness_gamma,flat,1.8,0.1468677494199536,14.68677494199536,3677,200,433,0.6259834447488497,15.51922136531487
0001,brightness_gamma,flat,2.0,0.17835717581910476,17.835717581910476,3561,224,549,0.5237243143632152,14.382212207946246
0001,brightness_gamma,flat,2.25,0.21780128794848205,21.780128794848206,3401,238,709,0.4173214630387525,13.347712429353663
0001,brightness_gamma,flat,2.5,0.25903753166014276,25.903753166014276,3218,233,892,0.3371492310255445,12.607773907105027
0001,brightness_gamma,flat,3.0,0.37549042234018004,37.549042234018,2706,223,1404,0.23107712772779432,11.603523850201654
0001,contrast_fade,rises,1.0,0.0,0.0,4110,0,0,1.0,inf
0001,contrast_fade,rises,0.9,0.04734713300023793,4.734713300023793,4004,93,106,0.9940472059788581,33.80944442298699
0001,contrast_fade,rises,0.8,0.07168120726243811,7.168120726243811,3937,131,173,0.9803068198226413,27.82417713489738
0001,contrast_fade,rises,0.7,0.10483306093859444,10.483306093859444,3834,173,276,0.958875995512302,24.310424622221127
0001,contrast_fade,rises,0.6,0.14053803339517626,14.053803339517627,3706,202,404,0.9299555691926336,21.814794606832944
0001,contrast_fade,rises,0.5,0.18316373728029603,18.316373728029603,3532,214,578,0.892957502986796,19.87744884969841
0001,contrast_fade,rises,0.4,0.251270207852194,25.1270207852194,3242,220,868,0.8478978552539975,18.294126702102155
0001,contrast_fade,rises,0.3,0.36713528462779443,36.71352846277944,2746,229,1364,0.7957990219380179,16.95498127169966
0001,contrast_fade,rises,0.2,0.4894013510365712,48.94013510365712,2192,183,1918,0.7373779017858163,15.797017982752543
0001,contrast_fade,rises,0.1,0.6970198675496688,69.70198675496688,1281,118,2829,0.6722658990722397,14.773756564732366
0001,disparity_scale,flat,1.0,0.0,0.0,4110,0,0,1.0,inf
0001,disparity_scale,flat,1.01,0.13636363636363635,13.636363636363635,3781,268,329,0.8742696659483564,29.765250784338793
0001,disparity_scale,flat,1.02,0.14483856298317416,14.483856298317416,3761,288,349,0.7921641721224478,26.50408007915163
0001,disparity_scale,flat,1.03,0.14516496018202502,14.516496018202501,3757,285,353,0.7479477445553181,24.982829368534595
0001,disparity_scale,flat,1.05,0.16226672735548475,16.226672735548476,3681,284,429,0.6918761422155311,23.185690905474573
0001,disparity_scale,flat,1.08,0.18169398907103826,18.169398907103826,3594,282,516,0.6475260120840746,21.488727324654526
0001,disparity_scale,flat,1.1,0.19399590629974983,19.399590629974984,3544,287,566,0.6288049861733439,20.668705423147628
0001,disparity_scale,flat,1.15,0.22484669543493072,22.484669543493073,3413,293,697,0.6006161941863513,19.14359675964584
0001,disparity_scale,flat,1.2,0.24049191528125713,24.049191528125714,3335,281,775,0.5873379843477333,18.25265371048718
0001,disparity_scale,flat,1.3,0.29473444267152954,29.473444267152953,3094,277,1016,0.5661186997433361,16.978484463681156
0001,downscale_upscale,rises,1.0,0.0,0.0,4110,0,0,1.0,inf
0001,downscale_upscale,rises,0.9,0.23069936421435058,23.06993642143506,3388,294,722,0.9564812134499168,37.705326843160975
0001,downscale_upscale,rises,0.8,0.2483054676909173,24.83054676909173,3327,316,783,0.9455658245040519,36.64403763205233
0001,downscale_upscale,rises,0.7,0.2675992779783393,26.75992779783393,3246,322,864,0.9327599584326279,35.743396881158645
0001,downscale_upscale,rises,0.6,0.3058744091829845,30.587440918298448,3084,333,1026,0.9164667750320948,34.68058452334728
0001,downscale_upscale,rises,0.5,0.34934596301308074,34.934596301308076,2885,324,1225,0.8994297916246192,33.70678697073204
0001,downscale_upscale,rises,0.4,0.42372114078768675,42.372114078768675,2546,308,1564,0.8668152726108955,32.22343210419092
0001,downscale_upscale,rises,0.3,0.5400824553366926,54.00824553366926,2008,256,2102,0.8287091245364833,30.80446762519572
0001,downscale_upscale,rises,0.25,0.6245654692931634,62.45654692931634,1620,205,2490,0.8085083639397159,30.116964950864734
0001,downscale_upscale,rises,0.2,0.7074941451990633,70.74941451990632,1249,160,2861,0.7809397736096075,29.11091750329212
0001,downscale_upscale,rises,0.15,0.8089594690684997,80.89594690684997,806,109,3304,0.7512996104051481,27.97179173834987
0001,downscale_upscale,rises,0.1,0.9195762099686974,91.95762099686974,334,43,3776,0.7271488759813085,26.7605298094112
0001,elastic_warp,rises,0.0,0.0,0.0,4110,0,0,1.0,inf
0001,elastic_warp,rises,0.5,0.18087505638249887,18.087505638249887,3632,324,478,0.9335592562611745,33.70216618061832
0001,elastic_warp,rises,1.0,0.2143017260703878,21.43017260703878,3505,351,605,0.854126621345223,29.416149594827356
0001,elastic_warp,rises,2.0,0.3436293436293436,34.36293436293436,2890,293,1220,0.7520279730645946,26.155368121381734
0001,elastic_warp,rises,3.0,0.4755309325946445,47.553093259464454,2272,222,1838,0.7018814109292377,24.65554891261056
0001,elastic_warp,rises,4.0,0.5562281722933644,55.62281722933644,1906,185,2204,0.6710063843863087,23.69578030515359
0001,elastic_warp,rises,6.0,0.6750647515893572,67.50647515893571,1380,137,2730,0.6349937741915899,22.33903769335032
0001,elastic_warp,rises,8.0,0.7546767700686715,75.46767700686715,1036,113,3074,0.6158172646385242,21.445504842853232
0001,elastic_warp,rises,10.0,0.8049653855335402,80.49653855335403,817,79,3293,0.604719924904551,20.821607166547796
0001,elastic_warp,rises,12.0,0.8287081339712918,82.87081339712918,716,70,3394,0.5952383135197403,20.299245812742342
0001,elastic_warp,rises,16.0,0.8918465227817746,89.18465227817745,451,60,3659,0.5836573237891302,19.42839511325075
0001,gaussian_blur,rises,0.0,0.0,0.0,4110,0,0,1.0,inf
0001,gaussian_blur,rises,0.25,0.0,0.0,4110,0,0,1.0,inf
0001,gaussian_blur,rises,0.5,0.11796184271754305,11.796184271754305,3791,188,319,0.9880395189543755,43.076889163458716
0001,gaussian_blur,rises,0.75,0.25249546279491836,25.249546279491835,3295,298,815,0.9437582245566066,36.50651309984187
0001,gaussian_blur,rises,1.0,0.34937853107344635,34.93785310734464,2879,315,1231,0.909068961281891,34.21790110519926
0001,gaussian_blur,rises,1.5,0.4915995397008055,49.15995397008055,2209,235,1901,0.8573259528318997,31.84525649334764
0001,gaussian_blur,rises,2.0,0.6270711785297549,62.70711785297549,1598,175,2512,0.820937862685008,30.48237290500142
0001,gaussian_blur,rises,3.0,0.7759886336727445,77.59886336727445,946,113,3164,0.7732307263094577,28.80722401420259
0001,gaussian_blur,rises,4.0,0.8819143819143819,88.19143819143818,491,48,3619,0.7495992332305377,27.815792031173732
0001,gaussian_blur,rises,6.0,0.9701673538685424,97.01673538685424,123,13,3987,0.7258411079449354,26.4796914843943
0001,gaussian_blur,rises,8.0,0.9871234207968902,98.71234207968902,53,6,4057,0.7139868334591393,25.544391169332943
0001,gaussian_blur,rises,12.0,0.9975675018243736,99.75675018243736,10,1,4100,0.7028912005536679,24.247715129282017
0001,gaussian_blur,rises,16.0,0.9987837509121869,99.87837509121869,5,1,4105,0.6971069306598916,23.3459172073291
0001,gaussian_noise,rises,0.0,0.0,0.0,4110,0,0,1.0,inf
0001,gaussian_noise,rises,2.0,0.12741490340386386,12.741490340386385,3794,238,316,0.9808239798679796,41.768769084093435
0001,gaussian_noise,rises,5.0,0.22330097087378642,22.330097087378643,3440,319,670,0.9013038444084488,34.105060565171364
0001,gaussian_noise,rises,8.0,0.28642197703219996,28.642197703219995,3169,331,941,0.7900370254448841,30.0642365652655
0001,gaussian_noise,rises,12.0,0.3715637674628211,37.15637674628211,2789,328,1321,0.6422687417127103,26.572050330848555
